"","GoodID","COO","Rating","No_of_reviews","RecentSoldnum","Price","Variety","Reserve","Protected_indicator_of_origin","Alcohol_Content","Body","RatingNo_of_reviews"
"291","5177611","澳大利亚(Australia)",0.9,4,11,532,"syrah",1,0,13.5,"重",3.6
"292","5178705","法国(France)",0.8,2,55,486,"merlot",1,1,13.5,"重",1.6
"294","5179000","南非(South",1,7,59,455,"cabernet",1,1,13.5,"中",7
"295","5179001","南非(South",1,6,57,455,"merlot",1,1,13.5,"中",6
"304","5179547","智利(Chile)",1,116,3293,109,"cabernet",0,1,13,"中高",116
"310","5180015","美国(USA)",0.5,1,7,358,"merlot",1,1,13.9,"中",0.5
"317","5181370","德国(Germany)",0.9,164,15847,69,"riesling",0,1,9.5,"中低",147.6
"327","5183379","德国(Germany)",0.9,150,14238,598,"riesling",0,1,8.5,"中",135
"328","5183380","德国(Germany)",1,95,7745,598,"dornfelder",0,1,11.5,"中高",95
"329","5183388","法国(France)",0.9,3,54,118,"merlot",1,1,13,"中高",2.7
"330","5183389","法国(France)",0.2,2,24,118,"chardonnay",1,1,12,"中低",0.4
"340","5184133","法国(France)",0.8,150,22895,598,"gamay",1,1,12.5,"中高",120
"369","5186475","西班牙(Spain)",0.9,63,2739,328,"tempranillo",1,1,14,"中",56.7
"371","5186556","智利(Chile)",0.9,1315,23483,249,"cabernet",0,1,13,"中高",1183.5
"377","5186732","法国(France)",1,2,3794,69,"merlot",1,1,13,"中",2
"378","5186929","西班牙(Spain)",0.8,1,19,695,"tempranillo",1,1,14.5,"中高",0.8
"382","5187133","智利(Chile)",0.9,62,1599,325,"cabernet",0,1,13,"中高",55.8
"383","5187174","法国(France)",0.8,1,31,98,"syrah",1,1,13,"重",0.8
"385","5187189","西班牙(Spain)",0.9,2,9,285,"verdejo",1,1,13,"中低",1.8
"389","5188606","智利(Chile)",0.8,1,99,208,"sauvignon",1,1,12.5,"中低",0.8
"401","5189074","西班牙(Spain)",0.9,3,91,108,"macabeo",1,1,12.5,"中低",2.7
"402","5189104","新西兰(New",1,703,42875,99,"sauvignon",0,1,13,"中低",703
"403","5190110","意大利(Italy)",0.7,2,26,224,"magliocco",1,1,13.5,"中高",1.4
"406","5190287","法国(France)",1,0,9570,128,"chardonnay",0,1,12,"中低",0
"407","5190368","西班牙(Spain)",0.9,3,94,139,"tempranillo",1,1,13,"中",2.7
"409","5190484","西班牙(Spain)",1,116,3467,109,"grenache",1,1,14.5,"中高",116
"411","5190553","智利(Chile)",1,23,308,120,"carmenere",1,1,14.5,"中",23
"412","5190554","智利(Chile)",1,15,214,120,"chardonnay",1,1,12.5,"中低",15
"415","5190658","中国(China)",1,7,97,428,"cabernet",0,1,13.5,"中",7
"416","5190659","智利(Chile)",0.9,42,945,419,"malbec",0,1,14,"中高",37.8
"420","5190686","意大利(Italy)",0.5,2,52,288,"merlot",0,1,10.5,"中",1
"443","5194001","西班牙(Spain)",0.8,1,33,588,"tempranillo",1,1,13.5,"中",0.8
"444","5194018","奥地利(Austria)",1,0,8,390,"sauvignon",1,1,12.5,"中低",0
"449","5194710","智利(Chile)",0.5,1,32,880,"syrah",1,1,14.5,"重",0.5
"461","5195513","澳大利亚(Australia)",1,4,12,498,"syrah",1,1,14.5,"重",4
"467","5195537","美国(USA)",0.9,130,4147,82,"merlot",1,1,13,"中高",117
"469","5195541","法国(France)",0.8,17,998,376,"syrah",1,1,13,"中高",13.6
"470","5195542","法国(France)",1,6,281,589,"syrah",1,1,13,"中高",6
"483","5196300","西班牙(Spain)",1,0,42,268,"tempranillo",1,1,13,"中",0
"484","5196301","西班牙(Spain)",1,0,32,320,"tempranillo",1,1,13.8,"中",0
