"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"341","0","155","12","2012","法国(France) 波尔多(Bordeaux)","75%美乐(Merlot),25%赤霞珠(Cabernet Sauvignon)","中高","波尔多法定产区A.O.C","90","10"
"342","0","1288","13","2005","法国(France) 波尔多(Bordeaux)","50%赤霞珠(Cabernet Sauvignon),35%美乐(Merlot),10%品丽珠(Cabernet Franc),5%小味多(Petit Verdot)","中高","1855 二级庄","100","5"
"343","0","529","14","2010","法国(France) 波尔多(Bordeaux)","90%赛美蓉(Semillon),7%长相思(Sauvignon Blanc),3%穆斯卡黛尔(Muscadelle)","中高","苏玳一级庄","90","6"
"344","0","49","13","  ","智利(Chile) 中央山谷(Central Valley)","西拉/设拉子(Syrah/Shiraz),赤霞珠(Cabernet Sauvignon)","  ","智利优质酒庄","100","16"
"345","0","108",NA,"0000","其他 其他","  ","  ","  ","100","0"
"346","0","39",NA,"  ","中国(China) 其他","  ","  ","  ","90","7"
"347","0","578","13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠 (Cabernet Sauvignon),美乐(Merlot),小维多(Petit Verdot)","中高","波美侯AOC","100","0"
"348","0","488","13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠 (Cabernet Sauvignon),美乐(Merlot),小维多(Petit Verdot)","中高","波尔多梅多克1855分级列级酒庄之3级（3rd of 1st GCC en 1855）","100","2"
"349","0","358","13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠 (Cabernet Sauvignon),美乐(Merlot),小维多(Petit Verdot)","中高","波尔多梅多克1855分级列级酒庄之5级列庄(5th GCC en 1855)","100","0"
"350","0","299","12.5","0000","法国(France) 波尔多(Bordeaux)","80%梅洛(Merlot) 20%品丽珠(Cabernet Franc)","中","波尔多法定产区AOC","100","7"
"351","0","198","14.5","2012","澳大利亚(Australia) 南澳(South Australia)","设拉子","中高","①澳洲红五星酒庄","100","6"
"352","0","188","12","  ","法国(France) 其他","赤霞珠(Cabernet Sauvignon),丹魄(Tempranillo)","中","VDCE","90","23"
"353","0","59","12.5","0000","法国(France) 波尔多(Bordeaux)","80%梅洛(Merlot)、20%赤霞珠(Cabernet Sauvignon)","中高","  ","100","0"
"354","12","199","12","0000","法国(France) 波尔多(Bordeaux)","45%赤霞珠、40%梅洛、15%品丽珠","中高","波尔多AOC","80","8"
"355","0","288",NA,"0000","其他 其他","  ","  ","  ","60","1"
"356","0","439","14.5","  ","澳大利亚(Australia) 南澳(South Australia)","100%设拉子(Shiraz)","重","澳大利亚红五星酒庄","100","8"
"357","2","399","13","2011","法国(France) 波尔多(Bordeaux)","梅洛(Merlot)、赤霞珠（Cabernet Sauvignon)","中高","中级酒庄Cru Bourgeois","100","0"
"358","0","700","12","2012","法国(France) 波尔多(Bordeaux)","70%赛美蓉(Semillon),30%长相思(Sauvignon Blanc)","中","格拉芙AOC","100","10"
"359","0","299","13","  ","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","多年份赤霞珠(Cabernet Sauvignon)","中","D.O  西班牙法定产区 出品","90","77"
"360","0","249","13","2012","法国(France) 勃艮第(Burgundy)","黑皮诺(Pinot Noir)","中","勃艮第法定产区 A.O.C","90","5"
"361","1","190","15","  ","西班牙(Spain) 安达路西亚(Andalusia)","100%帕罗米诺(Palomino)","重","DO","90","13"
"362","0","189","15","  ","西班牙(Spain) 赫雷斯-雪莉(Jerez-Xeres-Sherry)","100%帕罗米诺(Palomino)","重","DO","90","7"
"363","0","220","16.5","  ","西班牙(Spain) 赫雷斯-雪莉(Jerez-Xeres-Sherry)","100%帕罗米诺(Palomino)","重","DO","90","4"
"364","0","220","20","  ","西班牙(Spain) 赫雷斯-雪莉(Jerez-Xeres-Sherry)","100%帕罗米诺(Palomino)","重","DO","100","8"
"365","0","220","18","  ","西班牙(Spain) 赫雷斯-雪莉(Jerez-Xeres-Sherry)","75%帕罗米诺(Palomino),25%佩德罗希曼尼兹(Pedro Ximenez)","重","DO","50","2"
"366","0","155","19","  ","葡萄牙(Portugal) 其他","内格拉(Tinta Negra)","重","DO","90","10"
"367","0","158","13","2012","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、品丽珠（Cabernet Sauvignon)、小维多（Petit Verdot)","中高","波尔多梅多克1855分级列级酒庄之4级列庄(4th GCC en 1855)","100","0"
"368","0","72","12.5","0000","中国","蒙纳斯翠尔(Monastrell)","中","D.O.","100","42"
"369","42","168","13","0000","西班牙(Spain) 其他","莫纳特雷","中","D.O","100","151"
"370","0","158","13.5","2012","美国(USA) 加州(California)","82%赤霞珠 (Cabernet Sauvignon),16%美乐(Merlot)，2%品丽珠(Cabernet Franc)","中高","美国优质酒庄","90","33"
"371","0","99","13","2013","美国(USA) 加州(California)","仙粉黛,梅洛,赤霞珠,西拉","  ","美国优质酒庄","90","72"
"372","0","59","0.125","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","40%歌海娜(Grenache)、20%希拉(Syrah)、20%佳丽酿(Carignan)、10%慕和怀特(Mourvedre),可贝尔AOP,0.0","中","可贝尔AOP","100","11"
"373","-6","228","11","1200","德国(Germany) 莱茵黑森(Rheinhessen)","100%丹菲特(Dornfelder)","中","德国优质甜红","100","53"
"374","0","258","13","2012","法国(France) 波尔多(Bordeaux)","60%梅洛(Merlot)、40%赤霞珠（Carbernet Sauvignon）","中高","AOC","80","32"
"375","10","188","7","  ","意大利(Italy) 马尔凯(Marche)","100%莫斯卡托(Moscato)","中","  ","90","21"
"376",NA,NA,"13","2004","法国(France) 波尔多(Bordeaux)","美乐(Merlot),品丽珠(Cabernet Franc),赤霞珠(Cabernet Sauvignon)","中高","圣爱美隆列级酒庄",NA,NA
"377","24","258","12","  ","西班牙(Spain) 其他","丹魄","中","  ","100","13575"
"378","0","128","13.3","0000","美国(USA) 加州(California)","77%霞多丽(Chardonnay),17%鸽笼白(Colombard/Columber),3%维欧尼(Viognier),3%白麝香(Muscat Blanc)","中","AVA","80","4"
"379","0","128","14","0000","美国(USA) 加州(California)","76%美乐(Merlot),8%小西拉(Petit Syrah),8%西拉(Syrah),4%马尔贝克(Malbec),4%其他互补性品种","中高","AVA","80","3"
"380","0","258","13.5","0000","美国(USA) 加州(California)","83%美乐(Merlot),9%西拉(Syrah),4%小西拉(Petit Syrah),3%马尔贝克(Malbec),1%赤霞珠(Cabernet Sauvignon)","中高","美国优质酒庄","100","0"
"381","1","258","13.5","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","100%赤霞珠(Cabernet Sauvignon)","中高","澳大利亚优质酒庄","100","49"
"382","0","1008","13","0000","西班牙(Spain) 其他","莫纳特雷","中","D.O","90","303"
"383","0","218","12","2011","澳大利亚(Australia) 南澳(South Australia)","100%霞多丽(Chardonnay)","中低","澳大利亚优质酒庄","100","0"
"384","0","168","0.075","  ","意大利(Italy) 其他","NV102%慕斯卡黛( Muscat)","中高","NV","100","9"
"385","4","75","13.5","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","65%赤霞珠(Cabernet Sauvignon),35%西拉/设拉子(Syrah/Shiraz)","中","IGP","90","6"
"386","0","360","13","2012","美国(USA) 加州(California)","100%梅洛(Merlot)","中高","美国优质酒庄","90","5"
"387",NA,NA,"12.5","0000","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon)，美乐(Merlot)，品丽珠(Cabernet Franc)","中","AOC",NA,NA
"388","-2","232",NA,"2011","新西兰(New Zealand) 马尔堡(Marlborough)","黑比诺（Pinot Noir)","中高","  ","80","19"
"389",NA,"459","12","0000","法国(France) 香槟(Champagne)","莎当妮(Chardonnay)、黑比诺(Pinot Noir)、莫尼耶皮诺(Piont Meunier)","中","  ","90","30"
"390","0","69","12.5","0000","意大利(Italy) 西西里岛(Sicilia)","100%格里沃(Grillo)","中","DOC","80","6"
"391","0","69","13","0000","意大利(Italy) 西西里岛(Sicilia)","100%霞多丽(Chardonnay)","中","DOC","90","4"
"392","0","69","13","0000","意大利(Italy) 西西里岛(Sicilia)","100%黑达沃拉(Nero d'Avola)","中","DOC","90","10"
"393","0","98","12.5","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%西拉/设拉子(Syrah/Shiraz),20%歌海娜(Grenache/Granacha),20%神索(Cinsault)","中","朗格多克AOC朗格多克 Languedoc","100","0"
"394","0","198","5","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","100%丹魄（Tempranillo ）","中","西班牙优质酒庄","90","16"
"395","3","69","14.5","2013","澳大利亚(Australia) 南澳(South Australia)","赤霞珠","中","  ","100","48"
"396","0","198","12","0000","西班牙(Spain) 其他","100%丹魄(Tempranillo)","中低","西班牙优质酒庄","100","20"
"397","0","198","8.5","0000","德国(Germany) 其他","60%米勒图高(Muller Thurgau),40%西万尼(Silvaner)","轻","德国优质酒庄","100","15"
"398","0","108","11","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","100%歌海娜(Grenache)","中","餐桌酒","90","5"
"399","8","59","7","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","莫斯卡托Moscato","中高","西班牙优质酒庄","90","131"
"400","0","168","12","2013","法国(France) 波尔多(Bordeaux)","50%梅乐(Melot),20%品丽珠(Cabernet Franc),30%赤霞珠(Cabernet Sauvignon)","中","AOC","100","24"
"401","0","139","0.12","  ","西班牙(Spain) 瓦伦西亚(Valencia)","梅洛(Merlot)、赤霞珠（Cabernet Sauvignon)、希拉(Syrah)","中","餐酒","100","52"
"402","0","95","14","2010","法国(France) 波尔多(Bordeaux)","75%梅洛(Merlot)、20%赤霞珠(Cabernet Sauvignon)、5%品丽珠(Carbernet Franc)","中高","波尔多法定产区 A.O.C","80","6"
"403","0","376","7","  ","意大利(Italy) 马尔凯(Marche)","100%莫斯卡托(Moscato)","中","  ","90","16"
"404","0","139","13.5","  ","法国(France) 波尔多(Bordeaux)","65% merlot, 35% Cabernet Franc","中高","  ","90","81"
"405","0","99","13.5","0000","智利(Chile) 中央山谷(Central Valley)","70%梅洛(Merlot)、30%赤霞珠(Cabernet Sauvignon) ","中高","智利优质酒庄","90","49"
"406","0","369",NA,"纸","其他","100%马尔维萨(malvasia)","重","DOC","90","30"
"407","0","389","12","  ","法国(France) 香槟(Champagne)","60%霞多丽(Chardonnay),40%黑皮诺(Pinot Noir)","中","AOC","90","7"
"408","0","350","13.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(cabernet sauvignon)，美乐(merlot)","中高","圣艾美隆列级名庄","100","0"
"409","0","158","13","2014","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中","智利优质酒庄","100","0"
"410","0","72","12.5","2014","智利(Chile) 中央山谷(Central Valley)","100%长相思(Sauvignon Blanc)","中","智利优质酒庄","100","0"
"411","0","398",NA,"2013","其他 其他","  ","  ","  ","100","1"
"412","5","69","12","2013","意大利(Italy) 威尼托(Veneto)","赤霞珠(Cabernet Sauvignon)","中高","  ","90","49"
"413","0","198","14.5","  ","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","重","智利优质酒庄","90","3"
"414","0","225","13.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(cabernet sauvignon)，美乐(merlot)","中高","1855分级列级酒庄之4级列庄（4th GCC en 1855）","100","0"
"415","0","288","13.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(cabernet sauvignon)，美乐(merlot)","中高","1855分级列级酒庄之3级列庄（3th GCC en 1855）","100","0"
"416","0","158","13.5","0000","澳大利亚(Australia) 新南威尔士(New South Wales)","65%赤霞珠(Cabernet Sauvignon)35%梅洛(Merlot)","中高","澳大利亚优质酒庄","100","1"
"417","2","128",NA,"  ","法国(France) 波尔多(Bordeaux)","  ","中高","梅多克法定地区AOC","100","1"
"418","0","288","13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中","AOC","90","8"
"419","0","288","13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中","AOC","90","25"
"420","1","219","13.5","  ","法国(France) 波尔多(Bordeaux)","65%长相思（Sauvignon Blanc） ，35%赛美蓉（Semillon）","中高","波尔多法定产区A.O.C","90","3"
"421","17","139","13.5","2012","法国(France) 波尔多(Bordeaux)","65%梅洛(Merlot) 20%卡本内苏维翁(Cabernet Sauvignon) 15%卡本内弗朗(Cabernet Franc)","中高","波尔多法定产区 A.O.C（木桐酒庄生产的AOC酒）","90","159"
"422","0","212","13.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(cabernet sauvignon)，美乐(merlot)","中高","  ","100","0"
"423","18","299","14.5","2010","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc)","中","波尔多左岸三级名庄副牌","90","8"
"424","0","198","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%黑皮诺(Pinot Noir)","中","智利优质酒庄","90","5"
"425","0","499","13.5","2012","法国(France) 波尔多(Bordeaux)","65%梅洛(Merlot) 20%卡本内苏维翁(Cabernet Sauvignon) 15%卡本内弗朗(Cabernet Franc)","中高","波尔多法定产区 A.O.C（木桐酒庄生产的AOC酒）","90","29"
"426","0","350","13","2007","法国(France) 波尔多(Bordeaux)","77%美乐(Merlot)，14%品丽珠(Cabernet Franc)，11%赤霞珠(Cabernet Sauvignon)","重","圣爱美隆列级酒庄","80","5"
"427","71","229",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)","中高","  ","100","6"
"428","5","118","12","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)","中高","科比埃AOC Corbières","80","1"
"429","0","118","13","0000","智利(Chile) 中央山谷(Central Valley)","100%长相思(Sauvignon Blanc)","中低","智利优质酒庄","70","3"
"430","1","79","13.5","0000","澳大利亚(Australia) 东南澳(South Eastern Australia)","赤霞珠(Cabernet Sauvignon)","  ","澳大利亚优质酒庄","100","6"
"431","6","32","12","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","40%美乐(Merlot),30%歌海娜(Grenache/Granacha)，30%佳丽酿(Carignan)","中高","VDCE","90","12"
"432","2","49",NA,"  ","其他 其他","  ","  ","  ","90","8"
"433","32","49","5","  ","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","穆斯卡黛尔（Muscadelle）","轻","  ","90","6"
"434","2","378","13.7","2012","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon)","中","澳大利亚优质酒庄","100","11"
"435","123","37",NA,"2014","澳大利亚(Australia) 南澳(South Australia)","  ","中高","  ","100","21"
"436","35","199",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)","中高","  ","90","12"
"437","50","286",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)","中高","澳大利亚优质酒庄","90","22"
"438","0","258",NA,"  ","法国(France) 波尔多(Bordeaux)","  ","  ","  ","100","0"
"439","0","242",NA,"  ","法国(France) 波尔多(Bordeaux)","  ","  ","  ","100","0"
"440","0","498","12","  ","法国(France) 波尔多(Bordeaux)","100%白苏维翁（Sauvignon Blanc）","中低","AOC","100","7"
"441","0","368","12","  ","法国(France) 波尔多(Bordeaux)","85%赛蜜蓉（Semillon）、15%白苏维翁（Sauvignon Blanc）","中低","AOC","100","5"
"442","0","320","13","  ","法国(France) 波尔多(Bordeaux)","60%赤霞珠（Cabernet Sauvignon），40%梅洛（Merlot）","中","AOC","100","8"
"443","87","37","13.5","  ","澳大利亚(Australia) 南澳(South Australia)","美乐(Merlot)","中高","澳大利亚优质酒庄","90","43"
"444","360","37","13.5","  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon)","中高","澳大利亚优质酒庄","90","55"
"445",NA,"59","13","  ","澳大利亚(Australia) 南澳(South Australia)","霞多丽(Chardonnay)","中低","澳大利亚优质酒庄","90","55"
"446","13","59","12.5","  ","澳大利亚(Australia) 南澳(South Australia)","赛美蓉(Semillon),长相思(Sauvignon Blanc)","中低","澳大利亚优质酒庄","90","25"
"447","1","79","11.5","  ","澳大利亚(Australia) 新南威尔士(New South Wales)","  ","轻","霞多丽(Chardonnay),赛美蓉(Semillon)","100","16"
"448","0","320","14","  ","澳大利亚(Australia) 南澳(South Australia)","42%歌海娜(Grenache) 37%设拉子(Shiraz) 21%慕合怀特(Mataro)","中高","澳大利亚红五星酒庄","90","31"
"449","0","169","12","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","40%美乐(Merlot),30%歌海娜(Grenache/Granacha)，30%佳丽酿(Carignan)","中高","VDCE","100","0"
"450","0","358","13.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot)","中","波尔多左岸五级","100","3"
"451","-2","399","13.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc),小味多(Petit Verdot)","中高","1855年波尔多列级名庄第5级","100","0"
"452","39","86","12.5","  ","法国(France) 波尔多(Bordeaux)","90%美乐(Merlot)，10%赤霞珠(Cabernet Sauvignon)","中高","AOC","90","41"
"453","15","86","12.5","  ","法国(France) 波尔多(Bordeaux)","50%白苏维翁(Sauvignon Blanc) 50%沙美龙(Semillon)","中低","AOC","70","3"
"454","0","49","7","  ","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","麝香(Muscat/Moscato)","中高","VDLT","90","9"
"455","0","128","12","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","西拉(Syrah)梅洛(Merlot)","中","欧盟餐酒(VDCE)","90","104"
"456","0","129","12.5","  ","法国(France) 卢瓦尔河谷(Loire Valley)","100%白诗南(Chenin Blanc)","中","武弗雷 AOP","80","7"
"457","0","288","12.5","  ","法国(France) 卢瓦尔河谷(Loire Valley)","100%白诗南(Chenin Blanc)","中","武弗雷 AOP","100","3"
"458","0","388","12","  ","法国(France) 波尔多(Bordeaux)","60%梅洛（Merlot)、40%品丽珠（Cabernet Franc）","中","Saint Emilion Grand Cru","80","1"
"459","0","269","13","0000","智利(Chile) 中央山谷(Central Valley)","100%白苏维翁(Sauvignon Blanc)","中低","智利优质酒庄","90","10"
"460","0","288","13","  ","西班牙(Spain) 里奥哈(Rioja)","100%丹魄(Tempranillo)","中低","D.O.C. Rioja","100","5"
"461","0","288","13","  ","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","100%丹魄(Tempranillo)","中","D.O. Valdepenas","90","25"
"462","0","99","12","  ","法国(France) 波尔多(Bordeaux)","67%梅洛(Merlot)、23%赤霞珠(Cabernet Sauvignon)、10%品丽珠(Cabernet Franc)","中高","AOC","90","9"
"463","0","268","13.5","  ","法国(France) 波尔多(Bordeaux)","50%梅洛(Merlot)、25%赤霞珠(Cabernet Sauvignon)、25%品丽珠(Cabernet Franc)","中高","AOC","80","21"
"464","0","139","13.5","0000","西班牙(Spain) 里奥哈(Rioja)","90%丹魄      8% 歌海娜    2%玛祖爱罗","中高","里奥哈法定产区 D.O.C","100","9"
"465","23","198","12.5","  ","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","丹魄(Tempranillo)","中","VDM","100","0"
"466","0","420","12","  ","法国(France) 波尔多(Bordeaux)","70%长相思(Sauvignon Blanc),30%赛美蓉(Semillon)","中低","波尔多法定产区酒","90","4"
"467","1","279","14.5","  ","澳大利亚(Australia) 南澳(South Australia)","歌海娜（Grenache/Granacha）,西拉/设拉子(Syrah/Shiraz),慕尔怀特(Mourvedre)","中高","  ","100","9"
"468","0","526",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)","  ","  ","100","4"
"469","79","489","14.5","  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)","中高","  ","100","23"
"470","26","86",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","60%西拉/设拉子（Syrah/Shiraz）、40%赤霞珠(Cabernet Sauvignon)","  ","  ","90","51"
"471","0","165","14","  ","其他 其他","60%梅洛，35%赤霞珠，5%马尔贝克","中","  ","90","128"
"472","6","39","12","  ","西班牙(Spain) 其他","  ","中","  ","90","118"
"473","0","59","13.5","  ","智利(Chile) 中央山谷(Central Valley)","100%长相思(Sauvignon Blanc)","中","智利优质酒庄","90","26"
"474","0","59",NA,"  ","智利(Chile) 中央山谷(Central Valley)","100%梅洛（Merlot）","中","智利优质酒庄","90","36"
"475","0","159","12","  ","西班牙(Spain) 其他","  ","中","  ","90","88"
"476","0","988","14","  ","其他 其他","60%梅洛，35%赤霞珠，5%马尔贝克","中","  ","100","20"
"477","0","59",NA,"  ","其他 其他","  ","  ","  ","60","5"
"478","126","187","13.5","  ","澳大利亚(Australia) 东南澳(South Eastern Australia)","60%西拉/设拉子（Syrah/Shiraz）、40%赤霞珠(Cabernet Sauvignon)","中高","澳洲优质酒庄","90","315"
"479","4","197","13.5","  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon)","中高","澳大利亚优质酒庄","100","34"
"480","0","868","14","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc),小味多(Petit Verdot)","中高","五级名庄5th Growth of 1855 GCC","80","1"
"481","0","69","15","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%梅洛","重","  ","90","39"
"482","0","129","13","  ","法国(France) 薄若莱(Beaujolais)","佳美(Gamay)","中低","薄若莱AOC","90","5"
"483","0","109","13.5","  ","法国(France) 薄若莱(Beaujolais)","100%佳美(Gamay)","中","薄若莱村庄AOC","90","100"
"484","0","129","12.5","  ","法国(France) 薄若莱(Beaujolais)","100%霞多丽","中","马贡AOC","90","13"
"485","0","168",NA,"  ","其他 其他","  ","  ","  ","100","0"
"486","0","198","13","  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","西拉、歌海娜、神索","中","朗格多克AOC Languedoc","90","23"
"487","2","78","12","  ","法国(France) 罗纳河谷(Rhone Valley)","霞多丽","中","  ","100","70"
"488","0","78","13","  ","法国(France) 罗纳河谷(Rhone Valley)","西拉，歌海娜","中","  ","100","59"
"489","0","266","13","PU","法国(France)","85%梅洛(Merlot)、15%赤霞珠(Cabernet Sauvignon)","中","波尔多AOC","100","6"
"490","0","198",NA,"  ","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","  ","  ","  ","90","72"
"491","0","189","14","  ","法国(France) 罗纳河谷(Rhone Valley)","60%歌海娜(Grenache/Granacha),20%西拉/设拉子(Syrah/Shiraz),10%慕尔怀特(Mourvedre),5%神索(Cinsaut)","中低","AOC","60","2"
"492","388","138","13.5","  ","西班牙(Spain) 加泰罗尼亚(Catalonia)","50%歌海娜(Grenache/Granacha),50%佳丽酿(Carignan)","中高","D.O优质原产地葡萄酒","90","448"
"493","0","669","13.5","  ","西班牙(Spain) 加泰罗尼亚(Catalonia)","50%歌海娜(Grenache/Granacha),50%佳丽酿(Carignan)","中高","D.O优质原产地葡萄酒","90","358"
"494","3","1249",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)","中高","  ","80","1"
"495","0","1699",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)","中高","澳大利亚优质酒庄","90","4"
"496","0","398",NA,"  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)","中高","  ","100","0"
"497","32","49","12.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠、梅洛","中高","优级波尔多","90","133"
"498","0","189","13","白卡纸","中国","赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc)","中高","AOC","100","1"
"499","0","229","13.5","2013","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%赤霞珠(Canernet Sauvignon)、40%西拉(Syrah)","中","IGP","90","102"
"500","12","109",NA,"  ","中国(China) 河北(He Bei)","  ","  ","  ","100","2"
"501","0","499",NA,"  ","意大利(Italy) 托斯卡纳(Tuscany)","桑娇维塞（Sangiovese）","中","  ","90","10"
"502","0","69","14","  ","澳大利亚(Australia) 南澳(South Australia)","西拉(Syrah)","中","澳大利亚优级酒园葡萄酒","90","3"
"503","0","69","13.5","  ","澳大利亚(Australia) 南澳(South Australia)","梅洛(MERLOT)","中","澳大利亚优级酒园葡萄酒","100","1"
"504","0","69","13.5","  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon)","中","澳大利亚优级酒园葡萄酒","100","3"
"505","0","699",NA,"  ","法国(France) 波尔多(Bordeaux)","0%赛美蓉(Semillion)、10%长相思(Sauvignon Blanc)","中高","苏黛一级Premier Cru Sauternes","100","1"
"506","0","528",NA,"  ","法国(France) 波尔多(Bordeaux)","65% 梅乐 35% 品丽珠","中","圣艾米隆特等B级酒庄","100","0"
"507","0","398","0.13","  ","法国(France) 波尔多(Bordeaux)","赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、品丽珠(Cabernet Franc)、小维多(Petit Verdot)","中高","波尔多梅多克1855分级列级酒庄之5级列庄(5th GCC en 1855)","100","0"
"508","0","598",NA,"  ","法国(France) 波尔多(Bordeaux)","赤霞珠 85% 、 梅洛 15%","中","1855梅多克列级二级庄","100","0"
"509","0","39","12","  ","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","丹魄(Tempranillo)","中","DO","100","20"
"510","0","288","13","  ","澳大利亚(Australia) 西澳(Western Australia)","霞多丽(Chardonnay)","中低","澳大利亚优质酒庄","80","1"
"511","0","899","13","  ","法国(France) 波尔多(Bordeaux)","80%梅洛(Merlot)20%赤霞珠(Cabernet Sauvignon)","中高","  ","100","0"
"512","0","139",NA,"  ","其他 其他","  ","  ","  ","90","2"
"513","3","139",NA,"  ","其他 其他","  ","  ","  ","100","0"
"514","5","187","13.5","  ","澳大利亚(Australia) 南澳(South Australia)","美乐(Merlot)","中高","澳大利亚优质酒庄","90","41"
"515",NA,"329","13","  ","澳大利亚(Australia) 南澳(South Australia)","霞多丽(Chardonnay)","中低","澳大利亚优质酒庄","90","10"
"516","2","329","12.5","  ","澳大利亚(Australia) 南澳(South Australia)","赛美蓉(Semillon),长相思(Sauvignon Blanc)","中低","澳大利亚优质酒庄","80","5"
"517","16","59","7","  ","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","麝香(Muscat/Moscato)","中","VDLT","90","16"
"518","5","399","12.5","  ","法国(France) 波尔多(Bordeaux)","赤霞珠、梅洛","中高","优级波尔多","90","133"
"519","10","36","11","  ","西班牙(Spain) 其他","  ","中","  ","90","48"
"520","1","328",NA,"  ","法国(France) 香槟(Champagne)","  ","  ","  ","100","10"
"521","0","258",NA,"  ","法国(France) 勃艮第(Burgundy)","  ","  ","  ","90","3"
"522","0","458","12.5","0000","法国(France) 波尔多(Bordeaux)","60%美乐(Merlot),40%赤霞珠(Cabernet Sauvignon)","中高","AOC","90","4"
"523","25","98","12.5","  ","西班牙(Spain) 其他","100% 青葡萄(Verdejo)","中","卢艾达法定产区 D.O","90","3"
