"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"58","6","49","12","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","梅洛(Merlot)赤霞珠(Cabernet Sauvignon)","中","欧盟餐酒(VDCE)","70","133"
"59","0","128.7","13.9","0000","澳大利亚(Australia) 南澳(South Australia)","100%西拉(Shiraz)","中高","  ","80","17"
"60","-901","200","13","0000","阿根廷(Argentina) 门多萨(Mendoza)","100%长相思(Sauvignon Blanc)","中低","阿根廷优质酒庄","80","58"
"61","-2","99","13","0000","法国(France) 波尔多(Bordeaux)","55%美乐(Merlot)、25%赤霞珠(Cabernet Sauvignon)、20%品丽珠(Cabernet Franc)","中","波尔多法定产区 A.O.C","70","1515"
"62","301","55","12.5","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%歌海娜(Grenache)30%佳丽酿(Carignan)10%慕合怀特(Mourvedre)","中高","科比埃AOC Corbières","80","3029"
"63","51","38","13","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%歌海娜(Grenache)、30%佳丽酿(Carignan)、10%慕合怀特(Mourvedre)","中高","科比埃AOC Corbières ","100","5516"
"64","3","78","8.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","雷司令(Riesling) 肯纳(Kerner)","中高","德国特定产区优质酒 Q.B.A","80","276"
"65","12","65","14","0000","智利(Chile) 中央山谷(Central Valley)","卡本妮苏维翁(Cabernet Sauvignon)","中高","智利优质酒庄","90","136"
"66","0","49","12","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","丹魄(Tempranillo)、歌海娜(Garnacha)","中低","VDM","80","193"
"67","18","198","12.5","0000","法国(France) 波尔多(Bordeaux)","90%梅洛(Merlot)、5%赤霞珠(Cabernet Sauvignon)、5%品丽珠(Carbernet Franc)","中高","波尔多法定产区 A.O.C","80","182"
"68","0","218","14","0000","法国(France) 波尔多(Bordeaux)","100%梅洛(Merlot)","中高","卢萨克圣艾美隆法定产区 A.O.C","80","60"
"69","6","46","12.5","0000","智利(Chile) 中央山谷(Central Valley)","85%梅洛(merlot)15%卡曼尼(Carmenere)","中","  ","80","1"
"70","27","49","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%卡本妮苏维翁(Cabernet Sauvignon)","中高","  ","100","842"
"71","16","49","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%梅洛(merlot)","中高","  ","80","175"
"72","7","55","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%卡麦妮(carmenere)","中高","  ","80","171"
"73",NA,NA,"13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%黑皮诺(pinot noir)","中","  ",NA,NA
"74","21","45","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%设拉子(Shiraz)","中高","  ","100","172"
"75","1","55","13","0000","智利(Chile) 中央山谷(Central Valley)","100%苏维翁白(suavignon blanc)","中","  ","90","56"
"76","0","188","14.5","0000","智利(Chile) 中央山谷(Central Valley)","卡本妮苏维翁(cab) 设拉子(shiraz)","中高","  ","80","52"
"77","0","380","14.5","0000","智利(Chile) 中央山谷(Central Valley)","100%梅洛(merlot)","重","  ","90","25"
"78","18","129","8.5","0000","德国(Germany) 莫塞(Mosel)","100%雷司令(Riesling)","中","莫塞法定产区 Pradikatswein - Spatlese","90","552"
"79","0","80","10.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","80%科那(Kerner) ,20%格乌兹塔明那(Gewurztraminer)","中低","Pradikatswein Auslese","80","47"
"80","0","608","13","0000","澳大利亚(Australia) 南澳(South Australia)","100%维德和(Verdelho)","中","澳大利亚优质酒庄","100","9"
"81","0","168","12","0000","澳大利亚(Australia) 南澳(South Australia)","100%白苏维翁(Sauvignon Blanc)","轻","澳大利亚优质酒庄","70","15"
"82","0","210","14.5","  ","澳大利亚(Australia) 南澳(South Australia)","100%设拉子(shiraz)","中高","  ","80","25"
"83","0","62","13.5","0000","法国(France) 罗纳河谷(Rhone Valley)","85%歌海娜(Grenache)、15%希哈(Syrah)","中高","罗纳谷法定产区 A.O.C","100","27"
"84","6","49","12.5","0000","西班牙(Spain) 卡斯蒂利亚和雷昂(Castilla y Leon)","85%丹魄(Tempranillo),15%歌海娜(Garnacha)","中低","VDLT","100","1191"
"85","151","128","13.5","0000","西班牙(Spain) 里奥哈(Rioja)","90%丹魄      8% 歌海娜    2%玛祖爱罗","中高","里奥哈法定产区 D.O.C","80","712"
"86","0","358","13.5","0000","西班牙(Spain) 里奥哈(Rioja)","92%丹魄  6%格拉西亚诺2%马埃罗","中高","里奥哈法定产区 D.O.C","100","218"
"87","8","368","14","0000","西班牙(Spain) 里奥哈(Rioja)","90%丹魄      6%格拉西亚诺4%马埃罗","中高","里奥哈法定产区 D.O.C","90","53"
"88","4","899","14","0000","西班牙(Spain) 里奥哈(Rioja)","96%丹魄  2%格拉西亚诺2%玛祖爱罗","中高","里奥哈法定产区 D.O.C","90","65"
"89","6","320","13.5","0000","西班牙(Spain) 里奥哈(Rioja)","100%马埃罗(Mazuelo)","中高","里奥哈法定产区 D.O.C","80","170"
"90","0","348","14","0000","西班牙(Spain) 里奥哈(Rioja)","100%嘉西诺(Graciano)","中高","里奥哈法定产区 D.O.C","100","60"
